ISSN,ISSN_L,TITLE,TITLE_SOURCE,year_flipped,title,issn_type,period,year_active_since_str,year_active_since
0034-7744,0034-7744,Revista de Biología Tropical,DOAJ,1998,Revista de Biología Tropical,issn_e,3.1996 -,1996 -,1996
0034-8236,0034-8236,Revista de Filosofía,DOAJ,2006,Revista de Filosofía,issn_print,Nachgewiesen 2004 -,2004 -,2004
0034-8236,0034-8236,Revista de Filosofía,DOAJ,2006,Revista de Filosofía,issn_print,1.1949 -,1949 -,1949
0718-4360,0034-8236,Revista de Filosofía,DOAJ,2006,Revista de Filosofía,issn_e,Nachgewiesen 2004 -,2004 -,2004
0034-8244,0034-8244,Revista de Filosofia,DOAJ,1987,Revista de Filosofia,issn_print,"1.1942 - 28.1969 = Nr. 1-111; 2.Ser. 1.1975,Nov.; 2.1979 - 9.1986; 3.Epoca 1.1987/88(1989) - 14.2001,26; 27.2002 -",2002 -,2002
0034-8244,0034-8244,Revista de Filosofia,DOAJ,1987,Revista de Filosofia,issn_print,"1.1942 - 28.1969 = Nr. 1-111; 2.Ser. 1.1975,Nov.; 2.1979 - 9.1986; 3.Epoca 1.1987/88(1989) - 14.2001,26; 27.2002 -",2002 -,2002
1988-3188,0034-8341,Revista de Indias,DOAJ,1996,Revista de Indias,issn_e,1.1940 - 8.1947; 8.1948 -,1948 -,1948
0034-8341,0034-8341,Revista de Indias,DOAJ,1996,Revista de Indias,issn_print,1.1940 - 8.1947; 8.1948 -,1948 -,1948
0034-8341,0034-8341,Revista de Indias,DOAJ,1996,Revista de Indias,issn_print,1.1940 - 8.1947; 8.1948 - ; auch mit durchgehender Nr.-Zählung,1948 -,1948
0034-849X,0034-849X,Revista de Literatura,DOAJ,2001,Revista de Literatura,issn_print,"1.1952 - 17.1960,Jan./Juni = Nr. 1-33/34; 18.1960,Juli/Dez.=Nr. 35/36; 19.1960,Okt./Dez.=Nr. 36; 19.1961,Jan./Juni=Nr. 37/38; 20.1961,Juli/Dez. - 35.1969 = Nr. 39/40-70; 35=[36.]1969 - 37.1970=Nr. 71/72-73/74; 38.1970(1976)=Nr. 75/76 -",1969 -,1969
0034-849X,0034-849X,Revista de Literatura,DOAJ,2001,Revista de Literatura,issn_print,"1.1952 - 17.1960,Jan./Juni = Nr. 1-33/34; 18.1960,Juli/Dez.=Nr. 35/36; 19.1960,Okt./Dez.=Nr. 36; 19.1961,Jan./Juni=Nr. 37/38; 20.1961,Juli/Dez. - 35.1969 = Nr. 39/40-70; 35=[36.]1969 - 37.1970=Nr. 71/72-73/74; 38.1970(1976)=Nr. 75/76 -",1969 -,1969
1988-4192,0034-849X,Revista de Literatura,DOAJ,2001,Revista de Literatura,issn_e,"1.1952 - 17.1960,Jan./Juni = Nr. 1-33/34; 18.1960,Juli/Dez.=Nr. 35/36; 19.1960,Okt./Dez.=Nr. 36; 19.1961,Jan./Juni=Nr. 37/38; 20.1961,Juli/Dez. - 35.1969 = Nr. 39/40-70; 35=[36.]1969 - 37.1970=Nr. 71/72-73/74; 38.1970(1976)=Nr. 75/76 -",1969 -,1969
1988-4222,0034-8570,Revista de Metalurgia,DOAJ,1995,Revista de Metalurgia,issn_e,Nachgewiesen 34.1998 -,1998 -,1998
0034-8570,0034-8570,Revista de Metalurgia,DOAJ,1995,Revista de Metalurgia,issn_print,Nachgewiesen 34.1998 -,1998 -,1998
0034-8570,0034-8570,Revista de Metalurgia,DOAJ,1995,Revista de Metalurgia,issn_print,1.1965 - 49.2013,1965 -,1965
0034-9690,0034-9690,Interamerican Journal of Psychology,DOAJ,2011,Interamerican Journal of Psychology,issn_print,1.1967 -,1967 -,1967
0034-9690,0034-9690,Interamerican Journal of Psychology,DOAJ,2011,Interamerican Journal of Psychology,issn_print,Nachgewiesen 34.2000 -,2000 -,2000
1988-429X,0034-9712,Revista Internacional de Sociología,DOAJ,2003,Revista Internacional de Sociología,issn_e,1.1943 - 29.1971 = Nr. 1-117; 2.Epoca 30.1972 - 42.1984 = Nr. 1-52; 43.1985 - 47.1989; 3.Epoca Nr. 1.1992 -,1992 -,1992
0034-9712,0034-9712,Revista Internacional de Sociología,DOAJ,2003,Revista Internacional de Sociología,issn_print,1.1943 - 29.1971 = Nr. 1-117; 2.Epoca 30.1972 - 42.1984 = Nr. 1-52; 43.1985 - 47.1989; 3.Epoca Nr. 1.1992 -,1992 -,1992
